"Sample number","Location","Type","Treatment","Size","Species","Plant type","Height","Width_farthest","Width_perpendicular","Branch_length","Branch_diameter","Basal_circ","Stem_diameter","Stem_height","Stem_density","Branches_per_stem","Leaves_per_branch","Total_leaves","Leaf_lmax","Leaf_lmin","Leaf_lavg","Leaf_wmax","Leaf_wmin","Leaf_wavg","Leaf_tmax","Leaf_tmin","Leaf_tavg","Biomass","Measurement_location"
34,"ACTRI","biofilter","unvegetated","large","Unplanted weed","forb",18,9,8,3.71,0.07,NA,0.02,13,1,16,17.8,NA,2.4,0.9,1.6,1,0.4,0.68,0.01,0.01,0.01,0.24,"lab"
35,"ACTRI","biofilter","unvegetated","medium","Unplanted weed","forb",7.5,NA,NA,NA,NA,NA,0.07,7,NA,NA,NA,14,1.7,0.7,1.09,1,0.4,0.56,0.01,0.01,0.01,0.01,"lab"
36,"ACTRI","biofilter","unvegetated","large","Unplanted weed","forb",17,NA,NA,3.47,0.052,NA,0.15,12,1,16,7.8,NA,2.5,0.6,1.49,0.8,0.3,0.56,0.01,0.01,0.01,0.15,"lab"
37,"ACTRI","biofilter","unvegetated","large","Unplanted weed","forb",16,NA,NA,3.53,0.051,NA,0.12,8.9,1,11,10,NA,1.6,0.8,1.13,0.6,0.4,0.49,0.01,0.01,0.01,0.12,"lab"
38,"ACTRI","biofilter","unvegetated","small","Unplanted weed","forb",6,NA,NA,NA,NA,NA,0.03,5.5,NA,NA,NA,17,0.8,0.25,0.57,0.4,0.2,0.29,0.01,0.01,0.01,0.02,"lab"
39,"ACTRI","biofilter","unvegetated","small","Unplanted weed","forb",6,NA,NA,NA,NA,NA,0.04,5.5,NA,NA,NA,16,0.9,0.4,0.67,0.5,0.25,0.36,0.01,0.01,0.01,0.01,"lab"
40,"ACTRI","biofilter","unvegetated","small","Unplanted weed","forb",5.5,NA,NA,NA,NA,NA,0.04,5.3,NA,NA,NA,12,0.8,0.2,0.56,0.5,0.15,0.32,0.01,0.01,0.01,0,"lab"
41,"ACTRI","biofilter","unvegetated","medium","Unplanted weed","forb",8,NA,NA,NA,NA,NA,0.05,6.5,NA,NA,NA,16,1.9,0.55,1.16,0.65,0.3,0.49,0.01,0.01,0.01,0.02,"lab"
42,"ACTRI","biofilter","unvegetated","medium","Unplanted weed","forb",10.5,NA,NA,NA,NA,NA,0.08,9.5,1,NA,NA,23,1.7,0.5,1.07,0.8,0.25,0.49,0.01,0.01,0.01,0.05,"lab"
43,"ACTRI","biofilter","unvegetated","large","Onetheria biennis","forb",18,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,27,14,4,10.28,2,0.8,1.61,0.08,0.04,0.058,5.25,"lab"
44,"ACTRI","biofilter","unvegetated","large","Onetheria biennis","forb",17,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,28,14,4.5,9.17,2.3,1,1.63,0.07,0.05,0.059,6.66,"lab"
45,"ACTRI","biofilter","unvegetated","large","Onetheria biennis","forb",13,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,49,10.5,4.5,7.67,1.9,1.1,1.6,0.06,0.04,0.054,6.2,"lab"
